"entrez_id"	"final_symbol"	"ENSG_id"	"gene_symbol"	"Gencode_symbol"	"Aliase"
"23456"	"ABCB10"	"ENSG00000135776"	"ABCB10"	"ABCB10"	"EST20237|M-ABC2|MTABC2|ABCB10"
"8647"	"ABCB11"	"ENSG00000073734"	"ABCB11"	"ABCB11"	"ABC16|BRIC2|BSEP|PFIC-2|PFIC2|PGY4|SPGP|ABCB11"
"5244"	"ABCB4"	"ENSG00000005471"	"ABCB4"	"ABCB4"	"ABC21|GBD1|ICP3|MDR2|MDR2/3|MDR3|PFIC-3|PGY3|ABCB4"
"340273"	"ABCB5"	"ENSG00000004846"	"ABCB5"	"ABCB5"	"ABCB5alpha|ABCB5beta|EST422562|ABCB5"
"10058"	"ABCB6"	"ENSG00000115657"	"ABCB6"	"ABCB6"	"ABC|LAN|MTABC3|PRP|umat|ABCB6"
"22"	"ABCB7"	"ENSG00000131269"	"ABCB7"	"ABCB7"	"ABC7|ASAT|Atm1p|EST140535|ABCB7"
"11194"	"ABCB8"	"ENSG00000197150"	"ABCB8"	"ABCB8"	"EST328128|M-ABC1|MABC1|MITOSUR|ABCB8"
"23457"	"ABCB9"	"ENSG00000150967"	"ABCB9"	"ABCB9"	"EST122234|TAPL|ABCB9"
"4363"	"ABCC1"	"ENSG00000103222"	"ABCC1"	"ABCC1"	"ABC29|ABCC|DFNA77|GS-X|MRP|MRP1|ABCC1"
"89845"	"ABCC10"	"ENSG00000124574"	"ABCC10"	"ABCC10"	"EST182763|MRP7|SIMRP7|ABCC10"
"85320"	"ABCC11"	"ENSG00000121270"	"ABCC11"	"ABCC11"	"EWWD|MRP8|WW|ABCC11"
"94160"	"ABCC12"	"ENSG00000140798"	"ABCC12"	"ABCC12"	"MRP9|ABCC12"
"150000"	"ABCC13"	"ENSG00000291052"	"ABCC13"	"ABCC13"	"ABCC13P|C21orf73|PRED6|ABCC13"
"1244"	"ABCC2"	"ENSG00000023839"	"ABCC2"	"ABCC2"	"ABC30|CMOAT|DJS|MRP2|cMRP|ABCC2"
"8714"	"ABCC3"	"ENSG00000108846"	"ABCC3"	"ABCC3"	"ABC31|EST90757|MLP2|MOAT-D|MRP3|cMOAT2|ABCC3"
"10257"	"ABCC4"	"ENSG00000125257"	"ABCC4"	"ABCC4"	"MOAT-B|MOATB|MRP4|ABCC4"
"10057"	"ABCC5"	"ENSG00000114770"	"ABCC5"	"ABCC5"	"ABC33|EST277145|MOAT-C|MOATC|MRP5|SMRP|pABC11|ABCC5"
"100873982"	"ABCC5-AS1"	"ENSG00000223882"	"ABCC5-AS1"	"ABCC5-AS1"	"ABCC5-AS1"
"653190"	"ABCC6P1"	"ENSG00000291057"	"ABCC6P1"	"ABCC6P1"	"ABCC6P1"
"6833"	"ABCC8"	"ENSG00000006071"	"ABCC8"	"ABCC8"	"ABC36|HHF1|HI|HRINS|MRP8|PHHI|PNDM3|SUR|SUR1|SUR1delta2|TNDM2|ABCC8"
"10060"	"ABCC9"	"ENSG00000069431"	"ABCC9"	"ABCC9"	"ABC37|ATFB12|CANTU|CMD1O|IDMYS|SUR2|ABCC9"
"225"	"ABCD2"	"ENSG00000173208"	"ABCD2"	"ABCD2"	"ABC39|ALDL1|ALDR|ALDRP|hALDR|ABCD2"
"5825"	"ABCD3"	"ENSG00000117528"	"ABCD3"	"ABCD3"	"ABC43|CBAS5|PMP70|PXMP1|ZWS2|ABCD3"
"5826"	"ABCD4"	"ENSG00000119688"	"ABCD4"	"ABCD4"	"ABC41|EST352188|MAHCJ|P70R|P79R|PMP69|PXMP1L|ABCD4"
"6059"	"ABCE1"	"ENSG00000164163"	"ABCE1"	"ABCE1"	"ABC38|OABP|RLI|RLI1|RNASEL1|RNASELI|RNS4I|ABCE1"
"23"	"ABCF1"	"ENSG00000204574"	"ABCF1"	"ABCF1"	"ABC27|ABC50|ABCF1"
"114483834"	"ABCF2-H2BK1"	"ENSG00000285292"	"ABCF2-H2BK1"	"ABCF2-H2BK1"	"ABCF2-H2BE1|ABCF2-H2BK1"
"55324"	"ABCF3"	"ENSG00000161204"	"ABCF3"	"ABCF3"	"EST201864|ABCF3"
"9619"	"ABCG1"	"ENSG00000160179"	"ABCG1"	"ABCG1"	"ABC8|WHITE1|ABCG1"
"9429"	"ABCG2"	"ENSG00000118777"	"ABCG2"	"ABCG2"	"ABC15|ABCP|BCRP|BCRP1|BMDP|CD338|CDw338|CDw388|EST157481|GOUT1|MRX|MXR|MXR-1|MXR1|UAQTL1|ABCG2"
"64137"	"ABCG4"	"ENSG00000172350"	"ABCG4"	"ABCG4"	"WHITE2|ABCG4"
"64240"	"ABCG5"	"ENSG00000138075"	"ABCG5"	"ABCG5"	"STSL|STSL2|ABCG5"
"64241"	"ABCG8"	"ENSG00000143921"	"ABCG8"	"ABCG8"	"GBD4|STSL|STSL1|ABCG8"
"55347"	"ABHD10"	"ENSG00000144827"	"ABHD10"	"ABHD10"	"ABHD10"
"83451"	"ABHD11"	"ENSG00000106077"	"ABHD11"	"ABHD11"	"PP1226|WBSCR21|ABHD11"
"26090"	"ABHD12"	"ENSG00000100997"	"ABHD12"	"ABHD12"	"ABHD12A|BEM46L2|C20orf22|PHARC|dJ965G21.2|hABHD12|ABHD12"
"145447"	"ABHD12B"	"ENSG00000131969"	"ABHD12B"	"ABHD12B"	"BEM46L3|C14orf29|c14_5314|ABHD12B"
"84945"	"ABHD13"	"ENSG00000139826"	"ABHD13"	"ABHD13"	"BEM46L1|C13orf6|bA153I24.2|ABHD13"
"25864"	"ABHD14A"	"ENSG00000248487"	"ABHD14A"	"ABHD14A"	"DORZ1|ABHD14A"
"100526760"	"ABHD14A-ACY1"	"ENSG00000114786"	"ABHD14A-ACY1"	"ABHD14A-ACY1"	"ABHD14A-ACY1"
"84836"	"ABHD14B"	"ENSG00000114779"	"ABHD14B"	"ABHD14B"	"CIB|HEL-S-299|ABHD14B"
"116236"	"ABHD15"	"ENSG00000168792"	"ABHD15"	"ABHD15"	"ABHD15"
"7920"	"ABHD16A"	"ENSG00000204427"	"ABHD16A"	"ABHD16A"	"BAT5|D6S82E|NG26|PP199|SPG86|hBAT5|ABHD16A"
"140701"	"ABHD16B"	"ENSG00000183260"	"ABHD16B"	"ABHD16B"	"C20orf135|dJ591C20.1|ABHD16B"
"51104"	"ABHD17B"	"ENSG00000107362"	"ABHD17B"	"ABHD17B"	"C9orf77|CGI-67|FAM108B1|ABHD17B"
"58489"	"ABHD17C"	"ENSG00000136379"	"ABHD17C"	"ABHD17C"	"FAM108C1|ABHD17C"
"80167"	"ABHD18"	"ENSG00000164074"	"ABHD18"	"ABHD18"	"C4orf29|ABHD18"
