gene_name	expression
AC003659.1	0
AC003665.1	173
AC003666.1	0
AC003669.1	0
AC003681.1	39
AC003682.1	14
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0
AC003687.1	0
AC003688.1	0
AC003688.2	0
AC003950.1	0
AC003956.1	0
AC003957.1	0
AC003958.1	0
AC003958.2	2
AC003965.1	2
AC003965.2	0
AC003973.1	1
AC003973.2	0
AC003975.1	0
AC003982.1	0
AC003984.1	0
AC003985.1	0
AC003986.1	0
AC003986.2	0
AC003986.3	0
AC003988.1	1
AC003989.1	0
AC003989.2	0
AC003991.1	1
AC003991.2	0
AC003992.1	0
AC004000.1	1
AC004004.1	0
AC004006.1	0
AC004009.1	0
AC004009.2	0
AC004009.3	0
AC004012.1	0
AC004014.1	0
AC004014.2	1
AC004022.1	0
AC004022.2	0
AC004023.1	0
AC004024.1	0
AC004034.1	1
AC004039.1	0
AC004047.1	0
AC004052.1	2
AC004053.1	0
AC004054.1	0
AC004057.1	0
AC004062.1	0
AC004063.1	0
AC004066.1	0
AC004066.2	0
AC004067.1	3
AC004069.1	1
AC004069.2	0
AC004074.1	0
AC004076.1	0
AC004076.2	8
AC004080.1	0
AC004080.2	0
AC004080.3	0
AC004080.4	0
AC004080.5	0
AC004080.6	0
AC004080.7	0
AC004083.1	0
AC004086.1	13372
AC004112.1	0
AC004129.1	0
AC004129.2	0
AC004129.3	0
AC004130.1	0
AC004134.1	0
AC004147.1	0
AC004147.2	1
AC004147.3	0
AC004147.4	4
AC004147.5	0
AC004148.1	0
AC004148.2	8
AC004151.1	4117
AC004156.1	246
AC004156.2	4
AC004158.1	0
AC004160.1	7
AC004160.2	0
AC004217.1	0
AC004217.2	0
AC004221.1	0
AC004223.1	2
AC004223.2	11
AC004223.3	0
AC004223.4	0
AC004224.1	0
AC004224.2	0
AC004231.1	2
AC004231.3	0
AC004232.1	0
AC004232.2	5
AC004233.1	0
AC004233.2	0
AC004233.3	0
AC004241.1	15
AC004241.2	2
AC004241.3	20
AC004241.4	0
AC004241.5	4
AC004253.1	0
AC004253.2	0
AC004257.1	0
AC004263.1	0
AC004263.2	3
AC004264.1	0
AC004264.2	1
AC004381.1	1
AC004381.2	4
AC004381.3	2
AC004383.1	1
AC004386.1	0
AC004386.2	0
AC004408.1	3
AC004408.2	25
AC004415.1	1
AC004448.1	0
AC004448.2	0
AC004448.3	0
AC004448.4	0
AC004449.1	0
AC004453.1	23
AC004453.2	2
AC004461.1	0
AC004461.2	6
AC004464.1	0
AC004466.1	1
AC004466.2	11
AC004466.3	0
AC004467.1	0
AC004470.1	0
AC004471.1	0
AC004471.2	0
AC004475.1	164
AC004477.1	2
AC004477.2	0
AC004477.3	0
AC004485.1	5
AC004486.1	0
AC004490.1	0
AC004491.1	0
AC004492.1	4
AC004494.1	0
AC004494.2	1
AC004522.1	0
AC004522.2	0
AC004522.3	0
AC004522.4	3
AC004528.1	1
AC004528.2	0
AC004540.1	1
AC004540.2	0
AC004542.1	0
AC004542.2	0
AC004543.1	0
AC004549.1	1
AC004551.1	97
AC004551.2	2
AC004552.1	2
AC004554.1	0
AC004554.2	4
AC004584.1	0
AC004584.2	0
AC004584.3	34
AC004585.1	45
AC004585.2	0
AC004590.1	0
AC004593.1	0
AC004593.2	0
AC004593.3	0
AC004594.1	0
AC004596.1	0
AC004597.1	0
AC004623.1	1
AC004637.1	0
AC004672.1	0
AC004672.2	0
AC004674.1	0
AC004674.2	0
AC004678.1	0
AC004678.2	0
AC004687.1	279
AC004687.2	5
AC004687.3	4
AC004690.1	0
AC004690.2	0
AC004691.1	0
AC004691.2	0
AC004692.1	0
AC004692.2	0
AC004696.1	0
AC004696.2	0
AC004702.1	2
AC004704.1	1
AC004706.1	0
AC004706.2	0
AC004706.3	6
AC004707.1	0
AC004765.1	0
AC004771.1	4
AC004771.2	0
AC004771.3	6
AC004771.4	0
AC004771.5	0
AC004775.1	0
AC004777.1	2
AC004784.1	2
AC004790.1	0
AC004790.2	0
AC004792.1	0
AC004797.1	7
AC004801.1	0
AC004801.2	15
AC004801.3	2
AC004801.4	1
AC004801.5	0
AC004801.6	10
AC004801.7	0
AC004803.1	48
AC004805.1	0
AC004805.2	0
AC004805.3	0
AC004808.1	0
AC004808.2	0
AC004812.1	0
AC004812.2	27
AC004816.1	0
AC004816.2	0
AC004817.1	0
AC004817.2	0
AC004817.3	3
AC004817.4	1
AC004817.5	1
AC004825.1	0
AC004825.2	5
AC004825.3	0
AC004828.1	0
AC004828.2	0
AC004830.1	0
AC004832.1	0
AC004832.2	0
AC004832.3	0
AC004832.4	0
AC004832.5	0
AC004832.6	0
AC004834.1	1
AC004835.1	0
AC004835.2	0
AC004836.1	0
AC004837.1	0
AC004837.2	0
AC004837.3	0
AC004837.4	5
AC004839.1	2
AC004840.1	3
AC004840.2	0
AC004846.1	1
AC004846.2	14
AC004847.1	56
AC004852.1	0
AC004852.2	0
AC004852.3	0
AC004853.1	0
AC004854.1	0
AC004854.2	19
AC004858.1	2
AC004862.1	0
AC004863.1	0
AC004865.1	0
AC004865.2	28
AC004866.1	0
AC004866.2	0
AC004869.1	0
AC004869.2	0
AC004870.1	0
AC004870.2	1
AC004870.3	12
AC004870.4	15
AC004875.1	0
AC004877.1	0
AC004877.2	1
AC004879.1	0
AC004882.1	0
AC004882.2	0
AC004882.3	0
AC004884.1	0
AC004884.2	0
AC004888.1	0
AC004889.1	4
AC004890.1	14
AC004890.2	36
AC004890.3	0
AC004893.1	8
AC004893.2	0
AC004893.3	13
AC004895.1	0
AC004898.1	0
AC004899.1	0
AC004899.2	0
AC004900.1	0
AC004906.1	2
AC004908.1	0
AC004908.2	18
AC004908.3	1
AC004910.1	0
AC004911.1	0
AC004917.1	0
AC004918.1	9
AC004918.4	33
AC004920.1	0
AC004921.1	1
AC004921.2	5
AC004922.1	9
AC004923.1	0
AC004923.2	0
AC004923.3	0
AC004923.4	0
AC004925.1	2
AC004930.1	0
AC004936.1	0
AC004938.1	0
AC004938.2	14
AC004941.1	0
AC004941.2	0
AC004943.1	0
AC004943.2	44
AC004943.3	0
AC004944.1	0
AC004945.1	0
AC004946.1	0
AC004946.2	0
AC004947.1	1
AC004947.2	0
AC004947.3	4
AC004948.1	1
AC004949.1	1
AC004951.1	22
AC004951.2	4
AC004951.3	0
AC004951.4	3
AC004965.1	0
AC004967.1	3
AC004967.2	13
AC004969.1	0
AC004972.1	0
AC004973.1	0
AC004974.1	0
AC004975.1	0
AC004975.2	0
AC004980.1	46
AC004980.2	0
AC004980.3	2
AC004980.4	0
AC004982.1	7
AC004982.2	23
AC004986.1	0
AC004987.1	0
AC004987.2	0
AC004987.3	0
AC004987.4	0
AC004988.1	0
AC004990.1	1
AC004994.1	0
AC004997.1	0
AC005000.1	2
AC005000.2	0
AC005002.1	0
AC005002.2	0
AC005005.1	0
AC005005.2	0
AC005005.3	12
AC005005.4	1
AC005006.1	0
AC005008.1	0
AC005008.2	2
AC005009.1	0
AC005009.2	0
AC005011.1	0
AC005013.1	0
AC005014.1	0
AC005014.2	3
AC005014.3	0
AC005014.4	0
AC005019.1	1
AC005019.2	0
AC005020.1	0
AC005020.2	0
AC005021.1	2
AC005033.1	0
AC005034.1	0
AC005034.2	0
AC005034.3	0
AC005034.4	0
AC005034.5	5
AC005034.6	0
AC005037.1	9
AC005040.1	0
AC005040.2	0
AC005041.1	2
AC005041.2	0
AC005041.3	1
AC005041.4	0
AC005041.5	2
AC005042.1	1
AC005042.2	0
AC005042.3	0
AC005046.1	7
AC005050.1	2
AC005050.2	0
AC005050.3	0
AC005052.1	4
AC005052.2	3
AC005062.1	0
AC005064.1	0
AC005066.1	0
AC005070.1	0
AC005070.2	0
AC005070.3	4
AC005071.1	2
AC005072.1	9
AC005076.1	3
AC005077.1	0
AC005077.2	3
AC005077.3	0
AC005077.4	1
AC005081.1	6
AC005082.1	1
AC005082.2	0
AC005083.1	1
AC005084.1	0
AC005086.1	0
AC005086.2	0
AC005086.3	0
AC005086.4	0
AC005088.1	0
AC005089.1	1
AC005090.1	0
AC005091.1	0
AC005094.1	0
AC005096.1	0
AC005099.1	0
AC005100.1	0
AC005100.2	0
AC005102.1	0
AC005104.1	0
AC005104.2	0
AC005104.3	0
AC005105.1	0
AC005144.1	0
AC005153.1	0
AC005154.1	0
AC005154.2	9
AC005154.3	0
AC005154.4	0
AC005154.5	0
AC005156.1	5
AC005160.1	0
AC005162.1	0
AC005162.2	0
AC005162.3	1
AC005165.1	7
AC005165.2	5
AC005165.3	0
AC005176.1	0
AC005176.2	0
AC005178.1	1
AC005180.1	2
AC005180.2	0
AC005181.1	0
AC005183.1	0
AC005185.1	0
AC005186.1	1
AC005189.1	0
AC005191.1	0
AC005197.1	0
AC005208.1	1
AC005209.1	0
AC005220.1	1
AC005224.1	2
AC005224.2	17
AC005224.3	173
AC005225.1	0
AC005225.2	1
AC005225.3	1
AC005225.4	12
AC005229.1	0
AC005229.2	0
AC005229.3	4
AC005229.4	5
AC005229.5	0
AC005230.1	0
AC005232.1	0
AC005234.1	0
AC005234.2	0
AC005237.1	0
AC005237.2	0
AC005244.1	1
AC005244.2	0
AC005252.1	0
AC005252.2	0
AC005252.3	0
AC005252.4	0
AC005253.1	0
AC005253.2	1
AC005255.1	19
AC005255.2	1
AC005256.1	0
AC005258.1	0
AC005258.2	1
AC005261.1	138
AC005261.2	236
AC005261.3	0
AC005261.4	0
AC005261.5	0
AC005261.6	0
AC005262.1	0
AC005262.2	0
AC005264.1	2
AC005274.1	0
AC005277.1	1
AC005277.2	0
AC005280.1	0
AC005280.2	2
AC005280.3	0
AC005281.1	0
AC005288.1	7
AC005291.1	0
AC005291.2	0
AC005293.1	0
AC005294.1	0
AC005296.1	0
AC005297.1	0
AC005297.2	0
AC005297.3	0
AC005300.1	0
AC005301.1	0
AC005301.2	0
AC005303.1	0
AC005304.1	0
AC005304.2	0
AC005304.3	0
AC005306.1	6
AC005307.1	0
AC005323.1	0
AC005323.2	0
AC005324.1	0
AC005324.2	0
AC005324.3	0
AC005324.4	0
AC005324.5	0
AC005324.6	0
AC005326.1	0
AC005329.1	1
AC005329.2	0
AC005329.3	0
AC005330.1	0
AC005332.1	67
AC005332.2	45
AC005332.3	27
AC005332.4	167
AC005332.5	56
AC005332.6	357
AC005332.7	7
AC005336.1	0
AC005336.2	0
AC005336.3	0
AC005339.1	14
AC005341.1	0
AC005342.1	0
AC005342.2	2
AC005343.1	0
AC005343.4	2
AC005344.1	0
AC005345.1	0
AC005351.1	0
AC005355.1	0
AC005355.2	0
AC005357.1	0
AC005357.2	0
AC005358.1	0
AC005358.2	1
AC005363.1	0
AC005363.2	2
AC005377.1	0
AC005379.1	0
AC005381.1	0
AC005383.1	0
AC005387.1	0
AC005387.2	0
AC005391.1	2
AC005392.1	0
AC005392.2	4
AC005392.3	0
AC005393.1	0
AC005394.1	0
AC005394.2	3
AC005400.1	4
AC005410.1	0
AC005410.2	2
AC005412.1	1
AC005414.1	0
AC005476.1	0
AC005476.2	0
AC005479.1	4
AC005479.2	4
AC005480.1	2
AC005480.2	0
AC005481.1	1
AC005482.1	0
AC005486.1	0
AC005487.1	1
AC005495.1	1
AC005495.2	0
AC005498.1	1
AC005498.2	1
AC005498.3	1
AC005514.1	2
AC005515.1	0
AC005515.2	0
AC005518.1	0
AC005518.2	0
AC005519.1	7
AC005520.1	26
AC005520.2	14
AC005520.3	22
AC005520.4	0
AC005520.5	4
AC005521.1	0
AC005522.1	0
AC005523.1	0
AC005523.2	0
AC005524.1	1
AC005529.1	1
AC005531.1	0
AC005532.1	7
AC005532.2	5
AC005534.1	12
AC005534.2	0
AC005537.1	0
AC005538.1	0
AC005538.2	0
AC005538.3	0
AC005539.1	0
AC005540.1	10
AC005544.1	0
AC005544.2	0
AC005546.1	8
AC005548.1	1
AC005549.1	1
AC005550.1	0
AC005550.2	0
AC005551.1	0
AC005552.1	1
AC005559.1	0
AC005562.1	19
AC005562.2	0
AC005578.1	2
AC005580.1	0
AC005586.1	0
AC005586.2	1
AC005587.1	0
AC005588.1	0
AC005592.1	0
AC005592.2	0
AC005593.1	9
AC005594.1	2
AC005597.1	0
AC005599.1	0
AC005606.1	0
AC005606.2	0
AC005609.1	0
AC005609.2	0
AC005609.3	0
AC005609.4	0
AC005609.5	0
AC005614.1	1
AC005614.2	0
AC005616.1	0
AC005618.1	2
AC005618.2	3
AC005618.3	0
AC005618.4	0
AC005622.1	0
AC005625.1	0
AC005632.1	0
AC005632.2	68
AC005632.3	0
AC005632.4	0
AC005632.5	3
AC005666.1	4
AC005670.1	0
AC005670.2	0
AC005670.3	136
AC005674.1	1
AC005674.2	199
AC005682.1	1
AC005682.2	0
AC005691.1	0
AC005692.1	0
AC005692.2	0
AC005692.3	0
AC005695.1	0
AC005695.2	0
AC005695.3	1
AC005696.1	5
AC005696.2	0
AC005696.3	1
AC005696.4	0
AC005697.1	0
AC005697.2	0
AC005697.3	0
AC005699.1	0
AC005702.1	0
AC005702.2	3
AC005702.3	0
AC005702.4	0
AC005702.5	0
AC005703.1	0
AC005703.2	0
AC005703.3	0
AC005703.4	0
AC005703.5	0
AC005703.6	0
AC005703.7	0
AC005722.1	0
AC005722.2	2
AC005722.3	0
AC005725.1	1
AC005726.1	50
AC005726.2	0
AC005726.3	14
AC005726.4	1
AC005726.5	4
AC005730.1	0
AC005730.2	0
AC005730.3	2
AC005736.1	17
AC005736.2	0
AC005740.1	0
AC005740.2	0
AC005740.3	0
AC005740.4	7
AC005740.5	0
AC005741.1	0
AC005746.1	0
AC005746.2	1
AC005746.3	0
AC005747.1	844
AC005753.1	0
AC005753.2	0
AC005753.3	0
AC005757.1	1
AC005758.1	0
AC005759.1	0
