[gene_name]	expression
AC003102.1	96
AC003112.1	1
AC003659.1	1
AC003665.1	523
AC003666.1	0
AC003669.1	0
AC003681.1	23
AC003682.1	49
AC003684.1	1
AC003685.1	1
AC003685.2	0
AC003686.1	2
AC003687.1	0
AC003688.1	0
AC003688.2	0
AC003950.1	0
AC003956.1	1
AC003957.1	1
AC003958.1	0
AC003958.2	0
AC003965.1	1
AC003965.2	1
AC003973.1	2
AC003973.2	1
AC003975.1	1
AC003982.1	0
AC003984.1	0
AC003985.1	2
AC003986.1	0
AC003986.2	1
AC003986.3	2
AC003988.1	0
AC003989.1	0
AC003989.2	0
AC003991.1	10
AC003991.2	1
AC003992.1	0
AC004000.1	5
AC004004.1	0
AC004006.1	0
AC004009.1	0
AC004009.2	0
AC004009.3	1
AC004012.1	0
AC004014.1	2
AC004014.2	1
AC004022.1	0
AC004022.2	0
AC004023.1	1
AC004024.1	1
AC004034.1	47
AC004039.1	4
AC004047.1	0
AC004052.1	3
AC004053.1	0
AC004054.1	0
AC004057.1	3
AC004062.1	1
AC004063.1	0
AC004066.1	0
AC004066.2	1
AC004067.1	17
AC004069.1	1
AC004069.2	0
AC004074.1	0
AC004076.1	0
AC004076.2	22
AC004080.1	0
AC004080.2	0
AC004080.3	0
AC004080.4	0
AC004080.5	0
AC004080.6	0
AC004080.7	1
AC004083.1	9
AC004086.1	6180
AC004112.1	0
AC004129.1	0
AC004129.2	0
AC004129.3	1
AC004130.1	0
AC004134.1	0
AC004147.1	1
AC004147.2	0
AC004147.3	0
AC004147.4	0
AC004147.5	0
AC004148.1	0
AC004148.2	8
AC004151.1	8266
AC004156.1	676
AC004156.2	16
AC004158.1	3
AC004160.1	7
AC004160.2	0
AC004217.1	0
AC004217.2	0
AC004221.1	6
AC004223.1	0
AC004223.2	43
AC004223.3	0
AC004223.4	8
AC004224.1	2
AC004224.2	0
AC004231.1	1
AC004231.3	0
AC004232.1	0
AC004232.2	16
AC004233.1	0
AC004233.2	0
AC004233.3	3
AC004241.1	23
AC004241.2	4
AC004241.3	13
AC004241.4	0
AC004241.5	57
AC004253.1	0
AC004253.2	2
AC004257.1	3
AC004263.1	1
AC004263.2	7
AC004264.1	0
AC004264.2	16
AC004381.1	1
AC004381.2	108
AC004381.3	6
AC004383.1	1
AC004386.1	0
AC004386.2	0
AC004408.1	1
AC004408.2	8
AC004415.1	0
AC004448.1	1
AC004448.2	1
AC004448.3	0
AC004448.4	0
AC004449.1	16
AC004453.1	48
AC004453.2	2
AC004461.1	1
AC004461.2	52
AC004464.1	0
AC004466.1	21
AC004466.2	30
AC004466.3	4
AC004467.1	0
AC004470.1	0
AC004471.1	8
AC004471.2	14
AC004475.1	543
AC004477.1	13
AC004477.2	0
AC004477.3	1
AC004485.1	0
AC004486.1	0
AC004490.1	20
AC004491.1	4
AC004492.1	31
AC004494.1	19
AC004494.2	15
AC004522.1	0
AC004522.2	5
AC004522.3	0
AC004522.4	7
AC004528.1	9
AC004528.2	0
AC004540.1	4
AC004540.2	6
AC004542.1	0
AC004542.2	0
AC004543.1	0
AC004549.1	1
AC004551.1	202
AC004551.2	3
AC004552.1	0
AC004554.1	1
AC004554.2	2
AC004584.1	2
AC004584.2	0
AC004584.3	20
AC004585.1	62
AC004585.2	5
AC004590.1	1
AC004593.1	0
AC004593.2	25
AC004593.3	4
AC004594.1	1
AC004596.1	7
AC004597.1	0
AC004623.1	0
AC004637.1	2
AC004672.1	0
AC004672.2	22
AC004674.1	3
AC004674.2	3
AC004678.1	10
AC004678.2	14
AC004687.1	693
AC004687.2	13
AC004687.3	1
AC004690.1	0
AC004690.2	0
AC004691.1	0
